Using specified device: cuda:0
[AGCRN] 参数量: 38,199

>>> Run 1/3  [AGCRN]  开始训练...
| epoch  41 | 145.3s | loss 0.0899 | mae 0.0832 | rmse 0.5134 | da 0.5088 | tda 0.5098 | ic 0.0078 | icir 0.1500
| epoch  42 | 140.3s | loss 0.0894 | mae 0.0816 | rmse 0.5116 | da 0.5092 | tda 0.5123 | ic 0.0041 | icir 0.0854
| epoch  43 | 144.7s | loss 0.0892 | mae 0.0835 | rmse 0.5166 | da 0.5076 | tda 0.5069 | ic -0.0029 | icir -0.0524
| epoch  44 | 145.3s | loss 0.0891 | mae 0.0828 | rmse 0.5144 | da 0.5068 | tda 0.5056 | ic 0.0068 | icir 0.1128
| epoch  45 | 141.4s | loss 0.0885 | mae 0.0855 | rmse 0.5203 | da 0.5079 | tda 0.5094 | ic 0.0032 | icir 0.0634
| epoch  46 | 145.3s | loss 0.0883 | mae 0.0862 | rmse 0.5210 | da 0.5070 | tda 0.5092 | ic 0.0023 | icir 0.0367
| epoch  47 | 145.4s | loss 0.0881 | mae 0.0867 | rmse 0.5211 | da 0.5079 | tda 0.5111 | ic 0.0067 | icir 0.1360
| epoch  48 | 142.1s | loss 0.0874 | mae 0.0823 | rmse 0.5123 | da 0.5063 | tda 0.5064 | ic 0.0044 | icir 0.0760
| epoch  49 | 145.3s | loss 0.0870 | mae 0.0807 | rmse 0.5113 | da 0.5085 | tda 0.5100 | ic 0.0068 | icir 0.1432
| epoch  50 | 145.4s | loss 0.0867 | mae 0.0820 | rmse 0.5142 | da 0.5059 | tda 0.5048 | ic -0.0034 | icir -0.0593
Run 2 Final Test [AGCRN]: MAE 0.0994 | RMSE 0.6791 | DA 0.5061 | tDA 0.5100 | IC 0.0153 | ICIR 0.2071
[AGCRN] 参数量: 38,199

>>> Run 3/3  [AGCRN]  开始训练...
| epoch   1 | 142.2s | loss 0.6281 | mae 0.5200 | rmse 2.7774 | da 0.5058 | tda 0.5041 | ic 0.0086 | icir 0.1264
| epoch   2 | 145.4s | loss 0.6049 | mae 0.5159 | rmse 2.6962 | da 0.5067 | tda 0.5065 | ic 0.0074 | icir 0.1182
| epoch   3 | 144.5s | loss 0.5098 | mae 0.4970 | rmse 2.7399 | da 0.5047 | tda 0.5017 | ic 0.0036 | icir 0.0572
| epoch   4 | 143.1s | loss 0.4308 | mae 0.3876 | rmse 2.0095 | da 0.5042 | tda 0.5014 | ic 0.0021 | icir 0.0341
| epoch   5 | 145.3s | loss 0.3324 | mae 0.3127 | rmse 1.4300 | da 0.5041 | tda 0.5009 | ic 0.0005 | icir 0.0090
| epoch   6 | 144.6s | loss 0.3003 | mae 0.2965 | rmse 1.2919 | da 0.5049 | tda 0.5023 | ic 0.0005 | icir 0.0097
| epoch   7 | 140.7s | loss 0.2643 | mae 0.2328 | rmse 0.9028 | da 0.5050 | tda 0.5008 | ic -0.0039 | icir -0.0849
| epoch   8 | 145.3s | loss 0.2107 | mae 0.1909 | rmse 0.7178 | da 0.5046 | tda 0.5005 | ic -0.0024 | icir -0.0527
| epoch   9 | 143.7s | loss 0.1764 | mae 0.1610 | rmse 0.6442 | da 0.5055 | tda 0.5008 | ic -0.0056 | icir -0.1212
| epoch  10 | 143.0s | loss 0.1557 | mae 0.1449 | rmse 0.6029 | da 0.5052 | tda 0.5008 | ic -0.0028 | icir -0.0665
| epoch  11 | 145.0s | loss 0.1420 | mae 0.1313 | rmse 0.5814 | da 0.5052 | tda 0.5011 | ic -0.0028 | icir -0.0669
| epoch  12 | 145.0s | loss 0.1310 | mae 0.1261 | rmse 0.5828 | da 0.5044 | tda 0.4994 | ic -0.0049 | icir -0.1092
| epoch  13 | 143.0s | loss 0.1239 | mae 0.1235 | rmse 0.5765 | da 0.5042 | tda 0.4996 | ic -0.0012 | icir -0.0243
| epoch  14 | 144.6s | loss 0.1192 | mae 0.1134 | rmse 0.5575 | da 0.5055 | tda 0.5021 | ic -0.0017 | icir -0.0438
| epoch  15 | 145.4s | loss 0.1150 | mae 0.1105 | rmse 0.5553 | da 0.5041 | tda 0.5008 | ic -0.0015 | icir -0.0305
| epoch  16 | 142.9s | loss 0.1115 | mae 0.1059 | rmse 0.5507 | da 0.5044 | tda 0.5025 | ic 0.0027 | icir 0.0567
| epoch  17 | 144.7s | loss 0.1084 | mae 0.1085 | rmse 0.5584 | da 0.5052 | tda 0.5024 | ic 0.0035 | icir 0.0637
| epoch  18 | 145.3s | loss 0.1065 | mae 0.1025 | rmse 0.5455 | da 0.5069 | tda 0.5046 | ic -0.0008 | icir -0.0155
| epoch  19 | 142.9s | loss 0.1044 | mae 0.1007 | rmse 0.5433 | da 0.5070 | tda 0.5046 | ic -0.0033 | icir -0.0650
| epoch  20 | 144.4s | loss 0.1026 | mae 0.1031 | rmse 0.5555 | da 0.5026 | tda 0.4993 | ic 0.0062 | icir 0.1049
| epoch  21 | 145.5s | loss 0.1011 | mae 0.0957 | rmse 0.5341 | da 0.5055 | tda 0.5052 | ic 0.0064 | icir 0.1327
| epoch  22 | 139.1s | loss 0.1000 | mae 0.0947 | rmse 0.5338 | da 0.5064 | tda 0.5065 | ic 0.0001 | icir 0.0025
| epoch  23 | 145.3s | loss 0.0982 | mae 0.0928 | rmse 0.5327 | da 0.5039 | tda 0.5027 | ic 0.0053 | icir 0.0907
| epoch  24 | 145.3s | loss 0.0974 | mae 0.0924 | rmse 0.5339 | da 0.5027 | tda 0.5010 | ic 0.0059 | icir 0.1073
| epoch  25 | 142.2s | loss 0.0961 | mae 0.0868 | rmse 0.5215 | da 0.5034 | tda 0.5022 | ic 0.0055 | icir 0.1338
