Using specified device: cuda:0
[TCN] 参数量: 38,017

>>> Run 1/3  [TCN]  开始训练...
| epoch  24 |  52.9s | loss 0.0927 | mae 0.0746 | rmse 0.5024 | da 0.5036 | tda 0.5081 | ic 0.0077 | icir 0.1269
| epoch  25 |  52.5s | loss 0.0927 | mae 0.0739 | rmse 0.5008 | da 0.4995 | tda 0.5021 | ic 0.0101 | icir 0.1418
| epoch  26 |  50.6s | loss 0.0925 | mae 0.0737 | rmse 0.5022 | da 0.5085 | tda 0.5072 | ic 0.0022 | icir 0.0331
| epoch  27 |  52.8s | loss 0.0924 | mae 0.0715 | rmse 0.4994 | da 0.5034 | tda 0.5029 | ic 0.0111 | icir 0.2098
| epoch  28 |  52.5s | loss 0.0920 | mae 0.0752 | rmse 0.5021 | da 0.5088 | tda 0.5109 | ic 0.0102 | icir 0.1738
| epoch  29 |  52.8s | loss 0.0921 | mae 0.0748 | rmse 0.5017 | da 0.5101 | tda 0.5081 | ic 0.0068 | icir 0.0964
| epoch  30 |  51.6s | loss 0.0918 | mae 0.0729 | rmse 0.5006 | da 0.5032 | tda 0.5013 | ic -0.0013 | icir -0.0229
| epoch  31 |  52.4s | loss 0.0917 | mae 0.0744 | rmse 0.5025 | da 0.5062 | tda 0.5031 | ic 0.0049 | icir 0.0715
| epoch  32 |  52.9s | loss 0.0915 | mae 0.0729 | rmse 0.4997 | da 0.5065 | tda 0.5074 | ic 0.0017 | icir 0.0238
| epoch  33 |  53.0s | loss 0.0914 | mae 0.0769 | rmse 0.5064 | da 0.4992 | tda 0.4963 | ic 0.0023 | icir 0.0364
| epoch  34 |  52.4s | loss 0.0917 | mae 0.0738 | rmse 0.5018 | da 0.4972 | tda 0.4969 | ic 0.0071 | icir 0.1133
| epoch  35 |  52.9s | loss 0.0917 | mae 0.0725 | rmse 0.4997 | da 0.5052 | tda 0.5013 | ic 0.0019 | icir 0.0293
| epoch  36 |  50.6s | loss 0.0917 | mae 0.0744 | rmse 0.5019 | da 0.5037 | tda 0.4973 | ic 0.0008 | icir 0.0138
| epoch  37 |  52.6s | loss 0.0913 | mae 0.0723 | rmse 0.4999 | da 0.5065 | tda 0.5033 | ic 0.0059 | icir 0.0911
| epoch  38 |  52.7s | loss 0.0915 | mae 0.0747 | rmse 0.5026 | da 0.5075 | tda 0.5019 | ic 0.0017 | icir 0.0261
| epoch  39 |  52.2s | loss 0.0910 | mae 0.0760 | rmse 0.5031 | da 0.5055 | tda 0.5035 | ic -0.0076 | icir -0.1103
| epoch  40 |  52.9s | loss 0.0915 | mae 0.0725 | rmse 0.5000 | da 0.5088 | tda 0.5081 | ic 0.0087 | icir 0.1425
| epoch  41 |  52.5s | loss 0.0910 | mae 0.0727 | rmse 0.5003 | da 0.5111 | tda 0.5125 | ic 0.0152 | icir 0.2478
