Using specified device: cuda:0
[LSTM] 参数量: 218,527

>>> Run 1/3  [LSTM]  开始训练...
| epoch  25 |  19.0s | loss 0.1095 | mae 0.1062 | rmse 0.5644 | da 0.5085 | tda 0.5076 | ic 0.0171 | icir 0.3047
| epoch  26 |  19.0s | loss 0.1084 | mae 0.1057 | rmse 0.5583 | da 0.5083 | tda 0.5081 | ic 0.0191 | icir 0.3299
| epoch  27 |  18.7s | loss 0.1072 | mae 0.1040 | rmse 0.5574 | da 0.5075 | tda 0.5065 | ic 0.0141 | icir 0.2271
| epoch  28 |  18.6s | loss 0.1065 | mae 0.1041 | rmse 0.5603 | da 0.5093 | tda 0.5092 | ic 0.0171 | icir 0.2923
| epoch  29 |  18.4s | loss 0.1054 | mae 0.1014 | rmse 0.5490 | da 0.5091 | tda 0.5083 | ic 0.0186 | icir 0.3417
| epoch  30 |  18.6s | loss 0.1049 | mae 0.1003 | rmse 0.5450 | da 0.5085 | tda 0.5094 | ic 0.0196 | icir 0.3576
| epoch  31 |  19.1s | loss 0.1041 | mae 0.1009 | rmse 0.5455 | da 0.5084 | tda 0.5090 | ic 0.0202 | icir 0.3505
| epoch  32 |  19.0s | loss 0.1034 | mae 0.0991 | rmse 0.5455 | da 0.5088 | tda 0.5109 | ic 0.0183 | icir 0.3333
| epoch  33 |  18.7s | loss 0.1026 | mae 0.0985 | rmse 0.5425 | da 0.5094 | tda 0.5093 | ic 0.0199 | icir 0.3685
| epoch  34 |  19.0s | loss 0.1020 | mae 0.0966 | rmse 0.5378 | da 0.5093 | tda 0.5098 | ic 0.0206 | icir 0.4151
| epoch  35 |  19.0s | loss 0.1018 | mae 0.0966 | rmse 0.5374 | da 0.5099 | tda 0.5102 | ic 0.0133 | icir 0.2462
| epoch  36 |  18.5s | loss 0.1012 | mae 0.0985 | rmse 0.5427 | da 0.5092 | tda 0.5088 | ic 0.0204 | icir 0.3526
| epoch  37 |  18.7s | loss 0.1006 | mae 0.0955 | rmse 0.5356 | da 0.5091 | tda 0.5085 | ic 0.0158 | icir 0.3391
