Using specified device: cuda:0
[ITRANSFORMER] 参数量: 160,833

>>> Run 1/3  [ITRANSFORMER]  开始训练...
| epoch  47 |  16.1s | loss 0.0883 | mae 0.0995 | rmse 0.5689 | da 0.5071 | tda 0.5048 | ic -0.0048 | icir -0.0737
| epoch  48 |  15.9s | loss 0.0880 | mae 0.1006 | rmse 0.5755 | da 0.5080 | tda 0.5041 | ic -0.0017 | icir -0.0274
| epoch  49 |  15.9s | loss 0.0880 | mae 0.0908 | rmse 0.5407 | da 0.5081 | tda 0.5072 | ic -0.0027 | icir -0.0422
| epoch  50 |  16.1s | loss 0.0878 | mae 0.0941 | rmse 0.5514 | da 0.5078 | tda 0.5045 | ic -0.0036 | icir -0.0593
Run 3 Final Test [ITRANSFORMER]: MAE 0.1016 | RMSE 0.6963 | DA 0.5067 | tDA 0.5024 | IC 0.0070 | ICIR 0.1026

=======================================================
[ITRANSFORMER]  Summary over 3 runs
=======================================================
Metric     | Mean       | Std       
--------------------------------------
MAE        | 0.1020     | 0.0018    
RMSE       | 0.6977     | 0.0041    
DA         | 0.5065     | 0.0011    
TDA        | 0.5022     | 0.0031    
IC         | 0.0071     | 0.0118    
ICIR       | 0.0984     | 0.1763    
=======================================================

[导出] 核心指标已写入 output/latest_metrics_itransformer.json
/home/sankuai/conda/envs/fxpredict/lib/python3.10/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
/home/sankuai/conda/envs/fxpredict/lib/python3.10/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(


